137	Clothing Rental	7296	7296
138	COAST HOTELS	3552	3552
139	Colleges, Universities	8220	8220
140	COMAIR	3223	3223
141	COMFORT INNS	3562	3562
142	Commercial Equipment (Not Elsewhere Classified)	5046	5046
143	Commercial Footwear	5139	5139
144	Commercial Photography, Art and Graphics	7333	7333
145	Commuter Transport, Ferries	4111	4111
146	Computer Network Services	4816	4816
147	Computer Programming	7372	7372
148	Computer Repair	7379	7379
149	Computer Software Stores	5734	5734
150	Computers, Peripherals, and Software	5045	5045
151	CONCORDE HOTELS	3538	3538
152	Concrete Work Contractors	1771	1771
153	CONSORT HOTELS	3689	3689
154	Construction Materials (Not Elsewhere Classified)	5039	5039
155	Consulting, Public Relations	7392	7392
156	COPA	3219	3219
157	Correspondence Schools	8241	8241
158	Cosmetic Stores	5977	5977
159	Counseling Services	7277	7277
160	Country Clubs	7997	7997
161	Courier Services	4215	4215
162	Court Costs, Including Alimony and Child Support - Courts of Law	9211	9211
163	COURTYARD BY MARRIOTT	3690	3690
164	Credit Reporting Agencies	7321	7321
165	CROATIA AIRLINES	3088	3088
166	CROSSLAND	3822	3822
167	CROWNE PLAZA HOTEL	3750	3750
168	Cruise Lines	4411	4411
169	CSA	3217	3217
170	CUMULUS HOTELS	3678	3678
171	CYPRUS AIRWAYS	3292	3292
172	Dairy Products Stores	5451	5451
173	DAN HOTELS	3629	3629
174	Dance Hall, Studios, Schools	7911	7911
175	Dating/Escort Services	7273	7273
176	DAYS INNS OR DAYSTOP	3510	3510
177	DE VERE HOTELS	3648	3648
178	DELTA	3058	3058
179	DELTA HOTEL	3581	3581
180	Dentists, Orthodontists	8021	8021
181	Department Stores	5311	5311
182	Detective Agencies	7393	7393
183	Direct Marketing - Catalog Merchant	5964	5964
184	Direct Marketing - Combination Catalog and Retail Merchant	5965	5965
185	Direct Marketing - Inbound Tele	5967	5967
186	Direct Marketing - Insurance Services	5960	5960
187	Direct Marketing - Other	5969	5969
188	Direct Marketing - Outbound Tele	5966	5966
189	Direct Marketing - Subscription	5968	5968
190	Direct Marketing - Travel	5962	5962
191	Aladdin Resort and Casino	3560	3560
192	Ceasers Hotel and Casino	3771	3771
193	Claridge Casino Hotel	3792	3792
194	Financial Institutions - Manual Cash Disbursements	6010	6010
195	Financial Institutions - Merchendise and Services	6012	6012
196	Gambling Transactions	7995	7995
197	Gran Casino Hotels	3794	3794
198	Money Transfer - Merchant (EP)	4829	4829
199	New York - New York Hotel and Casino	3774	3774
200	Pawn Shops	5933	5933
201	Peppermill Hotel Casino	3796	3796
202	Quasi Cash - Member Financial Institution	6050	6050
203	Quasi Cash - Merchant (EP)	6051	6051
204	Riverside Resort and Casino	3597	3597
205	Riviera Hotel and Casino	3737	3737
206	Savings Bonds	6760	6760
207	Securities - Brokers and Dealers	6211	6211
208	Stratosphere Hotel and Casino	3769	3769
209	Tropicana  Resort and Casino	3738	3738
210	Value Purchase - Member Financial Institution	6535	6535
211	Venetian Resort, Hotel and Casino	3773	3773
212	Discount Stores	5310	5310
213	DISNEY RESORTS	3780	3780
214	Doctors	8011	8011
215	DOLLAR RENT-A-CAR	3390	3390
216	Door-To-Door Sales	5963	5963
217	DORINT HOTELS	3623	3623
218	DOUBLTREE HOTELS	3692	3692
219	DRAGONAIR	3004	3004
220	Drapery, Window Covering, and Upholstery Stores	5714	5714
221	Drinking Places	5813	5813
222	Drug Stores and Pharmacies	5912	5912
223	Drugs, Drug Proprietaries, and Druggist Sundries	5122	5122
224	DRURY INNS	3693	3693
225	Dry Cleaners	7216	7216
226	Durable Goods (Not Elsewhere Classified)	5099	5099
227	Duty Free Stores	5309	5309
228	EAST/WEST AIRLINES (AUSTRALIA)	3057	3057
229	EASYJET AIR	3245	3245
230	Eating Places, Restaurants	5812	5812
231	ECONO LODGES	3644	3644
232	ECONOMY INNS OF AMERICA	3694	3694
233	Educational Services	8299	8299
234	EGYPTAIR	3037	3037
235	EL AL	3032	3032
236	Electric Razor Stores	5997	5997
237	Electrical Contractors	1731	1731
238	Electrical Parts and Equipment	5065	5065
239	Electronics Repair Shops	7622	7622
240	Electronics Stores	5732	5732
241	Elementary, Secondary Schools	8211	8211
242	EMBASSY HOTELS	3652	3652
243	EMBASSY SUITES	3695	3695
244	Embassy Vacation Resort	3798	3798
245	Emergency Services 	9702	9702
246	EMIRATES AIRLINES	3026	3026
247	Employment/Temp Agencies	7361	7361
248	ENTERPRISE RENT-A-CAR	3405	3405
249	Equipment Rental	7394	7394
250	ETHIOPIAN AIRLINES	3294	3294
251	EUROP CAR	3381	3381
252	EVA AIRWAYS	3084	3084
253	EXCALIBUR HOTEL AND CASINO	3628	3628
254	EXTENDED STAY	3621	3621
255	Exterminating Services	7342	7342
256	FAIRFIELD INN	3715	3715
257	FAIRMONT HOTELS	3590	3590
258	Family Clothing Stores	5651	5651
259	Fast Food Restaurants	5814	5814
260	Financial Institutions	6012	6012
261	Fines - Government Administrative Entities	9222	9222
262	FINNAIR	3042	3042
263	Fireplace, Fireplace Screens, and Accessories Stores	5718	5718
264	FIRST HOSPITALITY HOTELS	3784	3784
265	Flamingo Hotels	3793	3793
266	Floor Covering Stores	5713	5713
267	Florists	5992	5992
268	Florists Supplies, Nursery Stock, and Flowers	5193	5193
269	FONTAINEBLEAU RESORTS	3607	3607
270	FORTE HOTELS	3505	3505
271	FORUM HOTELS	3570	3570
272	FOUR POINTS HOTELS	3778	3778
273	FOUR SEASONS HOTELS	3543	3543
274	Freezer and Locker Meat Provisioners	5422	5422
275	FRIENDSHIP INNS	3507	3507
276	FRONTIER AIRLINES	3132	3132
277	Fuel Dealers (Non Automotive)	5983	5983
278	Funeral Services, Crematories	7261	7261
279	Furniture Repair, Refinishing	7641	7641
280	Furniture, Home Furnishings, and Equipment Stores, Except Appliances	5712	5712
281	Furriers and Fur Shops	5681	5681
282	GAMBLING-HORSE, DOG RACING-ST LOTTERY	9754	9754
283	GARUDA (INDONESIA)	3103	3103
284	GAYLORD OPRYLAND	3608	3608
285	General Contractors	1520	1520
286	GENERAL RENT-A-CAR	3409	3409
287	GERMANWINGS - GRMNWGAIR	3019	3019
288	Gift, Card, Novelty, and Souvenir Shops	5947	5947
289	Glass, Paint, and Wallpaper Stores	5231	5231
290	Glassware, Crystal Stores	5950	5950
291	GOLDEN NUGGET	3561	3561
292	GOLDEN TULIP HOTELS	3506	3506
293	Golf Courses - Public	7992	7992
294	Government Services (Not Elsewhere Classified)	9399	9399
295	Grand Casino Hotels	3794	3794
296	GREAT WOLF	3618	3618
297	Grocery Stores, Supermarkets	5411	5411
298	GULF AIR (BAHRAIN)	3040	3040
299	Hale Koa Hotel	3799	3799
300	HAMPTON INNS	3665	3665
301	Hardware Stores	5251	5251
302	Hardware, Equipment, and Supplies	5072	5072
303	HARLEY HOTELS	3698	3698
304	HARRAH'S HOTELS AND CASINOS	3731	3731
305	HAWAIIAN AIR	3196	3196
306	Health and Beauty Spas	7298	7298
307	Hearing Aids Sales and Supplies	5975	5975
308	Heating, Plumbing, A/C	1711	1711
309	HERTZ RENT-A-CAR	3357	3357
310	HILTON CONRAD	3721	3721
311	HILTON GARDEN RESORT/INN	3604	3604
312	HILTON HOTELS	3504	3504
313	HILTON INTERNATIONAL	3535	3535
314	Hobby, Toy, and Game Shops	5945	5945
315	HOLIDAY RENT-A-CAR	3368	3368
316	Home Supply Warehouse Stores	5200	5200
317	HOMEWOOD SUITES	3751	3751
318	HOSPITALITY INNS	3595	3595
319	Hospitals	8062	8062
320	HOTEIS OTHAN	3680	3680
321	HOTEL IBIS	3533	3533
322	HOTEL INDIGO	3813	3813
323	HOTEL MERCURE	3579	3579
324	HOTEL OKURA	3541	3541
325	HOTEL UNIVERSALE	3625	3625
326	HOTELES EL PRESIDENTE	3663	3663
327	HOTELS MELIA	3548	3548
328	Hotels, Motels, and Resorts	7011	7011
329	Hotels/Motels/Inns/Resorts	3501	3790
330	Household Appliance Stores	5722	5722
331	HOWARD JOHNSON	3638	3638
332	HUDSON HOTEL	3602	3602
333	HUSA HOTELS	3647	3647
334	HYATT HOTELS	3640	3640
335	HYATT PLACE	3812	3812
336	IBERIA	3102	3102
337	IBEROTEL HOTELS	3540	3540
338	ICELANDAIR	3050	3050
339	IMPERIAL LONDON HOTEL	3651	3651
340	Industrial Supplies (Not Elsewhere Classified)	5085	5085
341	Information Retrieval Services	7375	7375
342	Insurance - Default	6399	6399
343	Insurance Premiums	6381	6381
344	Insurance Underwriting, Premiums	6300	6300
345	INTER-CONTINENTAL HOTELS	3512	3512
346	INTERENT RENT-A-CAR	3438	3438
347	Internet Gambling	780	7801
348	Intra-Company Purchases	9950	9950
349	ISLAND AIRLINES	3191	3191
350	JAPAN AIRLINES	3006	3006
351	JETBLUE AIRLINES	3174	3174
352	JETSTAR AIRLINES	3079	3079
353	Jewelry Stores, Watches, Clocks, and Silverware Stores	5944	5944
354	JOLLY HOTELS	3558	3558
355	JUGOSLAV AIR	3190	3190
356	KENYA AIRWAYS	3295	3295
357	KLM (ROYAL DUTCH AIRLINES)	3010	3010
358	KNIGHTS INNS	3660	3660
359	KOREAN AIRLINES	3082	3082
360	KUWAIT AIRWAYS	3038	3038
361	LA QUINTA MOTOR INNS	3516	3516
362	LAN AIRLINES-LANAIR	3052	3052
363	LANDSCAPE AND HORTICULTURAL SERVICES	780	780
364	Landscaping Services	780	780
365	Laundries	7211	7211
366	Laundry, Cleaning Services	7210	7210
367	Legal Services, Attorneys	8111	8111
368	LIAT	3184	3184
369	LOEWS HOTELS	3654	3654
370	LOT (POLAND)	3182	3182
371	LUFTHANSA	3008	3008
372	Luggage and Leather Goods Stores	5948	5948
373	Lumber, Building Materials Stores	5211	5211
374	LUXAIR	3146	3146
375	LUXHOR HOTEL AND CASINO	3667	3667
376	LXR (LUXURY RESORTS)	3808	3808
377	MAIL ORDER HOUSES INCL CATALOG ORDER STORES BOOK/RECORD CLUB	5961	5961
378	MALAYSIAN AIRLINE SYSTEM	3100	3100
379	MANDALAY BAY RESORT	3777	3777
380	MANDARIN ORIENTAL HOTEL	3577	3577
381	Manual Cash Disburse	6010	6010
382	Marinas, Service and Supplies	4468	4468
383	MARITIM HOTELS	3668	3668
384	MARRIOTT HOTELS	3509	3509
385	MARRIOTT/TOWNPLACE SUITES	3740	3740
386	Masonry, Stonework, and Plaster	1740	1740
387	Massage Parlors	7297	7297
388	MASTERCARD MONEYSEND FUNDING TRANSACTION	6538	6538
389	Medical and Dental Labs	8071	8071
390	Medical Services	8099	8099
391	Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies	5047	5047
392	Membership Organizations	8699	8699
393	Men’s and Boy’s Clothing and Accessories Stores	5611	5611
394	Men’s, Women’s Clothing Stores	5691	5691
395	MERIDIEN HOTELS	3520	3520
396	MESA AIR	3178	3178
397	Metal Service Centers	5051	5051
398	METROPOLE HOTELS	3661	3661
399	MGM GRAND HOTEL	3730	3730
400	MICROTEL INN AND SUITES	3613	3613
401	MIDDLE EAST AIR	3175	3175
402	MIDWAY MOTOR LODGE	3699	3699
403	MILLENNIUM HOTELS	3741	3741
404	MIRAGE HOTEL AND CASINO	3551	3551
405	Miscellaneous Apparel and Accessory Shops	5699	5699
406	Miscellaneous Auto Dealers	5599	5599
407	Miscellaneous Business Services	7399	7399
408	Miscellaneous Food Stores - Convenience Stores and Specialty Markets	5499	5499
409	Miscellaneous General Merchandise	5399	5399
410	Miscellaneous General Services	7299	7299
411	Miscellaneous Home Furnishing Specialty Stores	5719	5719
412	Miscellaneous Publishing and Printing	2741	2741
413	Miscellaneous Recreation Services	7999	7999
414	Miscellaneous Repair Shops	7699	7699
415	Miscellaneous Specialty Retail	5999	5999
416	MIYAKO HOTELS	3572	3572
417	Mobile Home Dealers	5271	5271
418	Money Transfer - Member FinancialInstitution 	6534	6534
419	MONTE CARLO HOTEL AND CASINO	3676	3676
420	MOTEL 6	3700	3700
421	Motion Picture Theaters	7832	7832
422	Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services	4214	4214
423	Motor Homes Dealers	5592	5592
424	Motor Vehicle Supplies and New Parts	5013	5013
425	Motorcycle Shops and Dealers	5571	5571
426	Motorcycle Shops, Dealers	5561	5561
427	MOUNT CHARLOTTE THISTLE	3639	3639
428	MOVENPICK HOTELS	3612	3612
429	Music Stores-Musical Instruments, Pianos, and Sheet Music	5733	5733
430	NATIONAL CAR RENTAL	3393	3393
431	NEMACOLIN WOODLANDS	3772	3772
432	News Dealers and Newsstands	5994	5994
433	Nondurable Goods (Not Elsewhere Classified)	5199	5199
434	Non-FI, Money Orders	6051	6051
435	NORDAIR	3081	3081
436	NORWEGIAN AIR SHUTTLE	3211	3211
437	NOVOTEL HOTELS	3642	3642
438	Nurseries, Lawn and Garden Supply Stores	5261	5261
439	Nursing/Personal Care	8050	8050
440	OBEROI HOTELS	3657	3657
441	Office and Commercial Furniture	5021	5021
442	OHANA HOTELS OF HAWAII	3786	3786
443	OLYMPIC AIRWAYS	3031	3031
444	OMANAIR	3183	3183
445	OMNI HOTELS	3592	3592
446	OPRYLAND HOTEL	3732	3732
447	Opticians, Eyeglasses	8043	8043
448	Optometrists, Ophthalmologist	8042	8042
449	Orthopedic Goods - Prosthetic Devices	5976	5976
450	Osteopaths	8031	8031
451	OUTRIGGER HOTELS AND RESORTS	3785	3785
452	OXFORD SUITES	3819	3819
453	Package Stores-Beer, Wine, and Liquor	5921	5921
454	Paint Shop Automotives	7535	7535
455	Paints, Varnishes, and Supplies	5198	5198
456	PAKISTAN INTERNATIONAL	3024	3024
457	PAL AIR	3022	3022
458	Paris Las Vegas Hotel	3795	3795
459	PARK INNS INTERNATIONAL	3553	3553
460	Parking Lots, Garages	7523	7523
461	Passenger Railways	4112	4112
462	Pawn Shops	5933	5933
463	PAYLESS CAR RENTAL	3359	3359
464	Payment Service Provider - MemberFinancial Inst. - Pymt Trans. 	6532	6532
465	Payment Service Provider - Merchant - Payment Transaction 	6533	6533
466	Payment Service Provider - MoneyTransfer For A Purchase 	6531	6531
467	PEABODY HOTELS	3752	3752
468	PENINSULA HOTEL	3523	3523
469	PENTA HOTELS	3653	3653
470	Peppermill Hotel Casino	3796	3796
471	Pet Shops, Pet Food, and Supplies	5995	5995
472	Petroleum and Petroleum Products	5172	5172
473	PHOENICIAN	3632	3632
474	Photo Developing	7395	7395
475	Photographic Studios	7221	7221
476	Photographic, Photocopy, Microfilm Equipment, and Supplies	5044	5044
477	Picture/Video Production	7829	7829
478	Piece Goods, Notions, and Other Dry Goods	5131	5131
479	Plumbing, Heating Equipment, and Supplies	5074	5074
480	Political Organizations	8651	8651
481	Postal Services - Government Only	9402	9402
482	Precious Stones and Metals, Watches and Jewelry	5094	5094
483	PREMIER TRAVEL INN	3811	3811
484	PRINCE HOTELS	3526	3526
485	Professional Services	8999	8999
486	PROTEA HOTELS	3719	3719
487	Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage	4225	4225
488	PULLMAN INTERNATIONAL HOTELS	3519	3519
489	QANTAS	3012	3012
490	QATAR AIRWAYS	3136	3136
491	QUALITY INNS & QUALITY SUITES	3508	3508
492	Quasi Cash - Member Financial Institution 	6050	6050
493	QUEBECAIRE	3056	3056
494	QUEENS MOAT HOUSES	3645	3645
495	Quick Copy, Repro, and Blueprint	7338	7338
496	RADISSON HOTELS	3649	3649
497	RAFFLES HOTEL	3790	3790
498	Railroads	4011	4011
499	RAMADA INNS & RAMADA LIMITED	3637	3637
500	RANTASIPI HOTELS	3674	3674
501	Real Estate Agents and Managers - Rentals	6513	6513
502	Record Stores	5735	5735
503	Recreational Vehicle Rentals	7519	7519
504	RED LION HOTELS OR RED LION INNS	3528	3528
505	RED ROOF INNS	3650	3650
506	REGENT INTERNATIONAL HOTELS	3598	3598
507	Religious Goods Stores	5973	5973
508	Religious Organizations	8661	8661
509	Remote Stored Value Load--MemberFinancial Inst 	6529	6529
510	Remote Stored Value Load--Merchant	6530	6530
511	RENAISSANCE HOTELS	3530	3530
512	RESIDENCE INNS	3703	3703
513	RESO HOTELS	3635	3635
514	RICA HOTELS	3723	3723
515	RODEWAY INNS	3515	3515
516	Roofing/Siding, Sheet Metal	1761	1761
517	ROSEN HOTELS & RESORTS	3782	3782
518	ROYAL HOTELS	3542	3542
519	ROYAL LAHAINA RESORTS	3521	3521
520	RYANAIR	3246	3246
521	SANDMAN HOTELS	3573	3573
522	SANDS RESORT	3775	3775
523	SAROVA HOTELS	3636	3636
524	SAS	3016	3016
525	SAS HOTELS	3583	3583
526	SAUDI ARABIAN AIRLINES	3014	3014
527	Savings Bonds	6760	6760
528	SCANDIC HOTELS	3655	3655
529	Secretarial Support Services	7339	7339
530	Security Brokers/Dealers	6211	6211
531	Service Stations	5541	5541
532	Sewing, Needlework, Fabric, and Piece Goods Stores	5949	5949
533	SHANGRI-LA INTERNATIONAL	3545	3545
534	SHERATON HOTELS	3503	3503
535	SHILO INNS	3706	3706
536	Shoe Repair/Hat Cleaning	7251	7251
537	Shoe Stores	5661	5661
538	SINGAPORE AIRLINES	3075	3075
539	SIXT CAR RENTAL	3355	3355
540	SLEEP INNS	3631	3631
541	Small Appliance Repair	7629	7629
542	SN BRUSSELS AIRLINES - SNBRU AIR	3029	3029
543	Snowmobile Dealers	5598	5598
544	SOFITEL HOTELS	3641	3641
545	SOHO GRAND HOTEL	3567	3567
546	SOKOS HOTELS	3586	3586
547	SONESTA HOTELS	3591	3591
548	SOUTH AFRICAN AIRWAYS	3017	3017
549	SOUTHWEST	3066	3066
550	Special Telecom Merchants 	4813	4813
551	Special Trade Contractors	1799	1799
552	Specialty Cleaning	2842	2842
553	SPIRIT AIRLINES	3260	3260
554	Sporting Goods Stores	5941	5941
555	Sporting/Recreation Camps	7032	7032
556	Sports and Riding Apparel Stores	5655	5655
557	Sports Clubs/Fields	7941	7941
558	SPRINGHILL SUITES	3770	3770
559	ST. REGIS HOTEL	3745	3745
560	Stamp and Coin Stores	5972	5972
561	Stationary, Office Supplies, Printing and Writing Paper	5111	5111
562	Stationery Stores, Office, and School Supply Stores	5943	5943
563	Staybridge Suites	3791	3791
564	STEIGENBERGER HOTELS	3643	3643
565	SUMMERFIELD SUITES HOTEL	3539	3539
566	SUPER 8 MOTELS	3709	3709
567	SURINAM AIRWAYS	3129	3129
568	Swimming Pools Sales	5996	5996
569	SWISS INTERNATIONAL AIRLINES - SWISS AIR	3015	3015
570	SWISSOTEL	3634	3634
571	TACA INTERNATIONAL	3127	3127
572	Tailors, Alterations	5697	5697
573	TAJ HOTELS INTERNATIONAL	3659	3659
574	TAM AIR	3248	3248
575	TAN	3125	3125
576	TAP (PORTUGAL)	3035	3035
577	TAROM	3297	3297
578	Tax Payments - Government Agencies	9311	9311
579	Tax Preparation Services	7276	7276
580	Taxicabs/Limousines	4121	4121
581	Telecommunication Equipment and Telephone Sales	4812	4812
582	Telecommunication Services	4814	4814
583	Telegraph Services	4821	4821
584	Tent and Awning Shops	5998	5998
585	Testing Laboratories	8734	8734
586	THAI AIRWAYS	3077	3077
587	THE PALACE HOTEL	3802	3802
588	THE RITZ CARLTON HOTELS	3710	3710
589	THE ROOSEVELT HOTEL NY	3814	3814
590	Theatrical Ticket Agencies	7922	7922
591	THRIFTY RENT-A-CAR	3395	3395
592	THY (TURKEY)	3047	3047
593	Timeshares	7012	7012
594	Tire Retreading and Repair	7534	7534
595	Tolls/Bridge Fees	4784	4784
596	Tourist Attractions and Exhibits	7991	7991
597	Towing Services	7549	7549
598	TOWN AND COUNTRY RESORT	3783	3783
599	Trailer Parks, Campgrounds	7033	7033
600	TRANS AUSTRAILIAN AIRWAYS (TAA)	3034	3034
601	TRANSAERO	3089	3089
602	Transportation Services (Not Elsewhere Classified)	4789	4789
603	TRANSPORTATION/TRAVEL-RELATED ARRANGEMENT	4761	4761
604	Travel Agencies, Tour Operators	4722	4722
605	TRAVELODGE	3615	3615
606	TREASURE ISLAND HOTEL AND CASINO	3555	3555
607	Truck Stop	7511	7511
608	Truck/Utility Trailer Rentals	7513	7513
609	TUI Travel - Germany	4723	4723
610	TUNIS AIR	3049	3049
611	Typesetting, Plate Making, and Related Services	2791	2791
612	Typewriter Stores	5978	5978
613	U.K. Petrol Stations - ElectronicHot File 	9752	9752
614	U.K. Supermarkets - Electronic HotFile 	9751	9751
615	U.S. AIR	3063	3063
616	U.S. Federal Government Agencies or Departments	9405	9405
617	Uniforms, Commercial Clothing	5137	5137
618	Used Merchandise and Secondhand Stores	5931	5931
619	UTA/INTERAIR	3027	3027
620	Utilities	4900	4900
621	VAGABOND HOTELS	3575	3575
622	Value Purchase-Member Financial Institution 	6535	6535
623	Variety Stores	5331	5331
624	VARIG AIR (BRAZIL)	3018	3018
625	Veterinary Services	742	742
626	Video Amusement Game Supplies	7993	7993
627	Video Game Arcades	7994	7994
628	Video Tape Rental Stores	7841	7841
629	VIRGIN ATLANTIC	3144	3144
630	Visa Credential Service 	9701	9701
631	Vocational/Trade Schools	8249	8249
632	W HOTELS	3779	3779
633	Watch/Jewelry Repair	7631	7631
634	Welding Repair	7692	7692
635	WESTIN HOTELS	3513	3513
636	WESTJETAIR	3180	3180
637	Wholesale Clubs	5300	5300
638	WIDEROE'S FLYVESELSKAP	3299	3299
639	Wig and Toupee Stores	5698	5698
640	WILDERNESS HOTEL AND RESORT	3801	3801
641	WINDWARD ISLAND	3112	3112
642	Wires, Money Orders	4829	4829
643	Women’s Accessory and Specialty Shops	5631	5631
644	Women’s Ready-To-Wear Stores	5621	5621
645	Wrecking and Salvage Yards	5935	5935
646	WYNDHAM HOTEL & RESORTS	3722	3722
